ID;type_code;address;traveller_ID
7257e212-0268-4df4-9852-1057a7c00fb6;H;arjun.sharma@gmail.com;287bdd09-a645-402a-8cdd-da62a3d796bf
7da00d12-eb17-4182-907d-d6aecd06174b;O;+91-98765-43210;287bdd09-a645-402a-8cdd-da62a3d796bf
55b01395-dee2-4b91-bff3-bd24ebc8d959;O;emily.johnson@corp.com;4687bbbd-e9e0-499c-ac29-b92fab56a638
255605a7-75e7-4230-986a-e01088ddad58;H;+1-212-555-0198;4687bbbd-e9e0-499c-ac29-b92fab56a638
13f306ad-4c38-40de-bb61-b973fd147c8e;H;lukas.mueller@web.de;34ff066f-cef0-4c16-b67e-cc679fae14d0
676fdf34-ebe2-4f25-bd35-23019cd116c0;P;+49-151-23456789;34ff066f-cef0-4c16-b67e-cc679fae14d0
83d55542-6482-4192-afb6-125fa345ccc3;O;yuki.tanaka@corp.jp;46c96eae-1857-4af3-a6f3-ad4a18852708
c7fe9ed4-db4d-4305-9bd1-9851f1667757;T;+81-90-1234-5678;46c96eae-1857-4af3-a6f3-ad4a18852708
5e179c4e-12f7-4929-a410-de051de782bb;H;priya.patel@gmail.com;02257338-563f-49e8-b6ff-81a288e24c38
6378c160-8a08-408d-afc3-a604798df5ab;O;+91-99887-66554;02257338-563f-49e8-b6ff-81a288e24c38
3b19889c-f50e-46ca-a147-011d3b7871e3;O;michael.brown@corp.com;615bfcf1-ab20-4c52-a8e2-514ba32e3ecd
007a90ee-34ee-4f1b-bd3c-55a93690e63e;H;+1-312-555-0147;615bfcf1-ab20-4c52-a8e2-514ba32e3ecd
dc17a44b-7330-475e-b63f-382d1117310e;H;claire.dubois@gmail.fr;de5978b5-579f-4676-860b-432c1e884140
5d46f6f7-b83c-44c5-9aff-65c1dec8e95d;P;+33-6-12-34-56-78;de5978b5-579f-4676-860b-432c1e884140
3c32b49b-2a3a-484b-8015-8cbc05212faf;O;minjun.kim@corp.kr;d0047ac5-30ae-449c-8142-a16d77f92111
8eaff03e-c336-41bd-a6bd-16fe10215fb7;T;+82-10-2345-6789;d0047ac5-30ae-449c-8142-a16d77f92111
12925448-4390-46f1-a470-62b617a604f0;H;rohan.gupta@gmail.com;499b0972-b8ee-4443-9bd3-31291960f71b
dab6a287-8959-4477-8e2f-d888fe07e9f4;O;+91-98123-45678;499b0972-b8ee-4443-9bd3-31291960f71b
6f77c8d1-9693-48a2-92d4-ff4ff39ff2e4;P;giulia.rossi@gmail.it;58cfa1ba-644c-4688-9761-bca139a90357
dd09b466-0cc5-42b2-892e-b6e0e3eead40;H;+39-345-678-9012;58cfa1ba-644c-4688-9761-bca139a90357
